text,label
bank is providing credit card for free So can you please provide your Account number,spam
You have win the lucky draw. For verification your need to provide your account number,spam
Can you please share your card details,spam
Could you please share your card details,spam
Would you like to share your card details,spam
Can I have your card details,spam
Can I have your card number,spam
Your card number please,spam
Could you please share your card number,spam
I would like to know your card details for further technical help,spam
"For activating the offer, you need to give your card details",spam
For availing the offer you need to give your card details,spam
Can I have your CC number,spam
Can I have your credit card number,spam
I would like to know your credit card number for further technical help,spam
Your credit card number please,spam
Can you share your credit card number,spam
Could you please share your credit card number,spam
This call is from the bank and it is been recorded for technical purpose. There is an offer on your credit card. For availing the offer kindly please share your credit card number,spam
Can you please share 16 digit credit card number,spam
Can you please tell last 4 digit of your credit card number,spam
Can you please give last 4 digit of your credit card number for the customer authentication purpose,spam
"For technical purpose, you need to share your credit card number for the authentication of customer",spam
For availing the offer you need to share your credit card's number,spam
For resuming the offer you need to mention your 16 digit number written on the credit card,spam
For activating the offer you need to tell me the last 4 digit of the 16 digit number written on the credit card,spam
Can you please mention last 4 digit of the 16 digit number of the credit card,spam
Can you help me with your card number,spam
Can you help me with your credit card number,spam
Can you say last 4 digit of your credit card number,spam
Can you say last 4 digit of your card,spam
For technical assistance you need to give your card number,spam
For technical assistance you need to give your last 4 digit of your card number,spam
Can I have your cvv number,spam
Can I have your cvv number of your credit card,spam
Can I have your credit card's cvv number,spam
I would like to know your cvv number of your credit card for further technical help,spam
Your cvv number please,spam
Can you share your cvv number of your credit card,spam
Could you please share your credit card's cvv number,spam
U need to give cvv number as well,spam
U need to give 3 digit number mention on the backside of the credit card,spam
Could you please tell me 3 digit number present on the backside of the credit card,spam
"For technical purpose, you need to share your cvv number for the authentication of customer",spam
For availing the offer you need to share your credit card's cvv number,spam
For resuming the offer you need to mention your 3 digit cvv number written on the backside of the credit card,spam
For activating the offer you need to tell me the 3 digit pin written on the back side of the credit card,spam
Can you help me with your cvv number,spam
Can you help me with your 3 digit cvv number,spam
May i know your cvv number,spam
May i know your 3 digit cvv number of the backside of the card,spam
May i know your 3 digit cvv number,spam
For customer assistance you need to give your cvv number,spam
Can I have the expiry date of the credit card,spam
Can I have credit cards expiry date,spam
Can you share the expiry month of your credit card,spam
Can you tell when is your credit is going to expire,spam
Please even share your credit cards expiry month and year as well,spam
"Please take a note of the credit card's expiry date, and can you share the same?",spam
"I hope your card is not expire, please let me know your credit card's expiry date",spam
Could you please share the expiry date of the credit card,spam
Could you please share the expiry month of the credit card,spam
Could you please share the expiry year of the credit card,spam
"Sorry for the inconvenience. Your card is expired, could you please check and let me know.",spam
You need to share your credit card's expiry date as well,spam
For activating the offer can you please share your card's expiry date,spam
"For resuming the offer, you need to enter card expiry date as well",spam
Will you please tell me your card's expiry date,spam
Will you please tell me your credit card's expiry year,spam
Will you please tell me your credit card's expiry month,spam
I even need to know your credit card's expiry date,spam
I even need to know your card's expiry date,spam
Can you help me with your credit card expiry date,spam
Can I know your credit card holder name,spam
Can I know your card holder's name,spam
Can I know your card holder's name written on the card,spam
Can you mention the card holder's name,spam
Can I have your credit card holder's name,spam
Can I have your card holder's name,spam
Can you share the name on the credit card,spam
Can you tell on who's name the credit card is issued,spam
Please even share your credit cards holder name,spam
Please take a note of the credit card's holder name,spam
Could you please share the credit card holder's name,spam
Sorry for the inconvenience. could you please check and let me know the card holder's name,spam
You need to share your credit card's holder name,spam
For activating the offer can you please share your card's holder's name,spam
"For resuming the offer, you need to enter card holder's name",spam
Will you please tell me your card's holder name,spam
I even need to know your credit card's holder name,spam
Can you help me with your credit card holder name,spam
Can I have the OTP number,spam
Can I have your OTP number of your credit card. It must have displayed in your registered mobile number,spam
Can I have the 4 digit otp. You must have got the message on the registered mobile number,spam
I would like to know the otp number. Which is showing on your phone,spam
Your OTP please,spam
Can you share the otp prompting on your phone,spam
Could you please share your OTP showing on your phone,spam
U need to give 4 digit otp number.,spam
U must have got the message of otp. Can you share the same,spam
U need to give 6  digit OTP. That is present in your recent message,spam
Could you please tell me OTP present on the message you have recently got,spam
"For technical purpose, you need to share the otp for authentication of customer",spam
For availing the offer you need to share the otp number,spam
For resuming the offer you need to mention the otp from recent sms you have got,spam
For activating the offer you need to tell me the otp ,spam
Can you help me with the OTP which you must have just received,spam
Can you help me with your otp which you may have just received,spam
May i know the otp,spam
May i know the 4 digit otp,spam
May i know the 6 digit otp ,spam
For customer assistance you need to give otp,spam
Can I have the password of your card ,spam
Can I have the password of your credit card.,spam
Can I have the password. Which you must have set while doing net banking,spam
Can I have the password. Which you must have set while doing mobile banking,spam
Can I have the password. Which you must have set while doing internet banking,spam
I would like to know the password of the credit card. Which you give while doing the transaction,spam
Your password please,spam
Can you share the password. Without that further procedure it will not complete,spam
Could you please share your password of the card,spam
U need to give the password of the card.,spam
